SPEC_ID,PROTECTED = P,GENUS,SPECIES,COUNTRY,LOCALITY,QUARRY,DATE COLLECTED,SEX,BONE,SIDE,AGE,tx12,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16, M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,
SMNS1508,P,Equus,quagga,0,0,,,unknown,a1ph3,norecord,recent,77.19,68.93,27.54,44.69,33.05,40.34,38.1,22.23,43.38,65.79,64.92,13.8,13.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMNS1508,P,Equus,quagga,0,0,,,unknown,astragalus,norecord,recent,55.68,56.04,28.19,56.23,46.32,31.74,47.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMNS1508,P,Equus,quagga,0,0,,,unknown,calcaneum,norecord,recent,101.87,66.71,18.54,33.09,47.96,46.92,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMNS1508,P,Equus,quagga,0,0,,,unknown,p1ph3,norecord,recent,70.82,62.4,28.97,45.72,34.67,37.54,34.43,23.13,35.75,58.73,58.33,15.51,13.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMNS1508,P,Equus,quagga,0,0,,,unknown,tibia,norecord,recent,297.37,282.75,37.49,31.21,88.53,81.29,65.85,41.66,44.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMNS7335,P,Equus,quagga,0,0,,,male,a2ph3,norecord,recent,39.37,30.2,37.46,43.88,27.73,40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMNS7335,P,Equus,quagga,0,0,,,male,femur,norecord,recent,357,324,38.54,42.07,103.52,81.86,84.49,113.43,46.29,49.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMNS7335,P,Equus,quagga,0,0,,,male,humerus,norecord,recent,250.56,229.2,33.89,37.34,82.62,83.5,65.81,71.26,40.49,30.49,36.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMNS7335,P,Equus,quagga,0,0,,,male,mc3,norecord,recent,206.4,199.1,29.24,22.2,44.86,28.8,37.3,13.6,9.4,41.77,41.76,29.8,24,26.2,,9.99,,,,,,,,,,,,,,,,,,,,,,,,
SMNS7335,P,Equus,quagga,0,0,,,male,mt3,norecord,recent,232.73,226.9,28.6,27,45,36.73,41.91,8.86,7.74,42.16,42.71,31.51,25.22,27.82,,,,,,,,,,,,,,,,,,,,,,,,,,
SMNS7335,P,Equus,quagga,0,0,,,male,p2ph3,norecord,recent,39.82,30.99,36.06,45.5,27.35,36.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMNS7335,P,Equus,quagga,0,0,,,female,radius,norecord,recent,,,40.94,25.4,69.71,33.18,78.35,57.7,33.31,70.51,23.01,14.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMNS7335,P,Equus,quagga,0,0,,,male,radius,norecord,recent,281.45,274.85,35.41,23.95,68.08,33.17,76.76,58.05,31.09,68.15,23.59,13.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMNS7335,P,Equus,quagga,0,0,,,male,tibia,norecord,recent,304.86,290.09,39.55,30.19,86.13,79.42,65.29,44.75,39.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMNSA598327,P,Equus,quagga,0,0,,,unknown,mc3,norecord,recent,209.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMNSA598327,P,Equus,quagga,0,0,,,unknown,mt3,norecord,recent,236.75,239.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM161927,P,Equus,grevyi,0,300,Kitanga Farm,28-Apr-1909,unknown,mciii,right,recent,208.6,202.2,31.0,23.8,45.4,28.1,36.6,13.8,8.5,43.2,43.9,30.8,22.6,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM161927,P,Equus,grevyi,0,300,Kitanga Farm,28-Apr-1909,unknown,mtiii,right,recent,237.1,227.9,30.7,26.8,46.4,33.3,41.7,11.0,7.1,43.2,43.5,33.1,24.4,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM162954,P,Equus,quagga boehemi,0,301,"Sotik, Guaso Nyiro, Roosevelt",29-Jun-1909,female,a1ph3,left,recent,78.9,71.0,29.1,46.5,33.2,38.3,37.9,22.0,12.8,66.3,9.0,66.6,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM162954,P,Equus,quagga boehemi,0,301,"Sotik, Guaso Nyiro, Roosevelt",29-Jun-1909,female,a2ph3,left,recent,43.0,32.6,36.3,45.3,29.5,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM162954,P,Equus,quagga boehemi,0,301,"Sotik, Guaso Nyiro, Roosevelt",29-Jun-1909,female,p1ph3,left,recent,74.4,67.4,28.6,48.4,34.7,38.9,36.0,22.1,13.4,60.6,9.9,59.8,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM162954,P,Equus,quagga boehemi,0,301,"Sotik, Guaso Nyiro, Roosevelt",29-Jun-1909,female,p2ph3,left,recent,42.5,32.2,37.8,45.0,28.9,41.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM104,,Cormohipparion,sp.,1,0,,,unknown,mandible,norecord,12.0,0,0,69.5,64.8,136.2,88.7,0,159,150.3,78.8,54.6,40.3,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM111,,Cormohipparion,sp.,1,0,,,female,mandible,norecord,12.0,339.4,82.5,71.5,76.1,137.2,78.6,43.8,153.6,147.4,76.2,54.2,37.2,69.5,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM112416,,Cormohipparion,sp.,1,0,,,unknown,tmp2,no record,12.0,25,0,0,0,0,11.2,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FAM112419,,Cormohipparion,sp.,1,0,,,unknown,tmp2,no record,12.0,25,0,0,0,0,11.7,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
