"","Site","EAP.Acc.","Provenience..field.number.","ID.Catalog...cat..element.or.portion.","Specimen.Catalog...cat..organism.","Cantryll.Test...test..analyst.sample.number.","Period","Date","ID","Element","Side","Description.completeness","Age..modern.only.","Fusion","Cantryll.notes","variable","value","template"
"6489","","","","","","","","","","","","",NA,"","","Humerus.GLC",NA,"Humerus length from caput"
"6490","Aguateca","EAP0638","AG31A-10-2-1","131","n/a","907AG","Late Classic","A.D. 730-810","Odocoileus virginianus","astragalus","left","whole",NA,"fused","","Humerus.GLC",NA,"Humerus length from caput"
"6491","Aguateca","EAP0638","AG31A-10-2-1","131","n/a","908AG","Late Classic","A.D. 730-810","Odocoileus virginianus","ulna","left","proximal",NA,"fused proximal","908AG ulna Odocoileus v complete olecranon superior--crest fused, GL unavailable.  ","Humerus.GLC",NA,"Humerus length from caput"
"6492","Aguateca","EAP0638","AG31B-12-1-1","286","n/a","909AG","mixed Classic period","","Odocoileus virginianus","radius","right","",NA,"fused proximal","","Humerus.GLC",NA,"Humerus length from caput"
"6493","Aguateca","EAP0638","AG31B-14-2-1","359","n/a","901AG","Late Classic","A.D. 730-810","Odocoileus virginianus","proximal phalanx","--","whole",NA,"fused proximal and distal","100AG phalanx1 Odocoileus v complete.","Humerus.GLC",NA,"Humerus length from caput"
"6494","Aguateca","EAP0638","AG31D-4-1-1","212","n/a","903AG","mixed Classic period","","Odocoileus virginianus","humerus","left","whole",NA,"fused proximal and distal","903AG humerus Odocoileus v almost complete broken in three places GL and GLC is a refit GLC taken with calipers GL taken with osteoboard board is typically 4mm greater than same measurement with calipers. Proximal epiphysis is closed but visible.","Humerus.GLC",176.87,"Humerus length from caput"
"6495","Aguateca","EAP0638","AG22A-11-2-1","148","n/a","904AG","Late Classic","A.D. 730-810","Odocoileus virginianus","radius","left","shaft and distal epiphysis",NA,"fused/large","904AG radius Odocoileus v distal 70% pathology: slight ridge along the ulnar groove more interesting is the groove itself is almost filled with woven bone.","Humerus.GLC",NA,"Humerus length from caput"
"6496","Aguateca","EAP0638","AG30B-4-2-5","122","n/a","905AG","mixed Classic period","","Odocoileus virginianus","radius","right","distal w/epiphysis",NA,"fused/large","905AG radius Odocoileus v proximal 40% serious erosion on posterior surface only Bp available.","Humerus.GLC",NA,"Humerus length from caput"
"6497","Aguateca","EAP0638","AG31A-9-1-2","134","n/a","900AG","mixed Classic period","","Odocoileus virginianus","humerus","left","proximal epiphysis",NA,"unfused epiphysis","","Humerus.GLC",39.71,"Humerus length from caput"
"6498","Aguateca","EAP0638","AG31B-12-1-1","286","n/a","910AG","mixed Classic period","","Odocoileus virginianus","calcaneum","left","",NA,"unfused tuber calsis, juvenile cortex","910AG calcaneus Odocoileus distal 70% superior crest absent no GL available, medial surface eroded GB unavailable.  ","Humerus.GLC",NA,"Humerus length from caput"
