"","Site","EAP.Acc.","Provenience..field.number.","ID.Catalog...cat..element.or.portion.","Specimen.Catalog...cat..organism.","Cantryll.Test...test..analyst.sample.number.","Period","Date","ID","Element","Side","Description.completeness","Age..modern.only.","Fusion","Cantryll.notes","variable","value","template"
"6494","Aguateca","EAP0638","AG31D-4-1-1","212","n/a","903AG","mixed Classic period","","Odocoileus virginianus","humerus","left","whole",NA,"fused proximal and distal","903AG humerus Odocoileus v almost complete broken in three places GL and GLC is a refit GLC taken with calipers GL taken with osteoboard board is typically 4mm greater than same measurement with calipers. Proximal epiphysis is closed but visible.","Humerus.GLC",176.87,"Humerus length from caput"
"6497","Aguateca","EAP0638","AG31A-9-1-2","134","n/a","900AG","mixed Classic period","","Odocoileus virginianus","humerus","left","proximal epiphysis",NA,"unfused epiphysis","","Humerus.GLC",39.71,"Humerus length from caput"
"6845","modern","","Collier County","","z:4703","","F","1985","Odocoileus virginianus","","L","",3.5,"","","Humerus.GLC",186.17,"Humerus length from caput"
"6854","modern","","Guatemala, Peten, Dos Pilas","","UF no8851","","","1993","Mazama americanus","","R","",NA,"","","Humerus.GLC",141.71,"Humerus length from caput"
"6857","modern","","Collier City","","z:4576","","F","1985","Odocoileus virginianus","","R","",2,"","","Humerus.GLC",166.57,"Humerus length from caput"
"6858","modern","","Collier County","","z:4580","","F","1985","Odocoileus virginianus","","R","",4,"","","Humerus.GLC",180.78,"Humerus length from caput"
"6859","modern","","Collier County","","z:4573","","F","1985","Odocoileus virginianus","","R","",5,"","","Humerus.GLC",182.39,"Humerus length from caput"
"6861","modern","","Collier County","","z:4572","","F","1985","Odocoileus virginianus","","R","",2.5,"","","Humerus.GLC",176.27,"Humerus length from caput"
"6863","modern","","Collier County","","z:4781","","F","1985","Odocoileus virginianus","","R","",2,"","","Humerus.GLC",170.73,"Humerus length from caput"
"6865","modern","","Collier County","","z:4705","","F","1985","Odocoileus virginianus","","R","",3.5,"","","Humerus.GLC",182.31,"Humerus length from caput"
"6866","modern","","Collier County","","z:4569","","F","1985","Odocoileus virginianus","","R","",NA,"","","Humerus.GLC",170.12,"Humerus length from caput"
"6867","modern","","Clay County","","z:2850","","F","1979","Odocoileus virginianus","","R","",3.5,"","","Humerus.GLC",197,"Humerus length from caput"
"6869","modern","","Liberty County","","z:4567","","F","1985","Odocoileus virginianus","","R","",NA,"","","Humerus.GLC",173.29,"Humerus length from caput"
"6870","modern","","Collier County","","z:4571","","M","1985","Odocoileus virginianus","","R","",3.5,"","","Humerus.GLC",203.03,"Humerus length from caput"
"7104","Tipu","EAP0667","T426","2","n/a","524T14","Late Postclassic/Historic","","Mazama americanus","humerus","L","almost complete",NA,"","T426-2 humerus Mazama a. almost complete minor erosion on the proximal articular surfaces GL is suspect.","Humerus.GLC",120.73,"Humerus length from caput"
"7185","Tipu","EAP0667","T734","5","n/a","505T10","","","Mazama sp.","humerus","R","almost complete",NA,"","T734-005 humerus mazama sp. Almost complete, trochanter missing GL and Bp unavailable.","Humerus.GLC",130.56,"Humerus length from caput"
"7305","Aguateca","EAP0638","AG31D-4-1-1","212","n/a","903AG","mixed Classic period","","Odocoileus virginianus","humerus","left","whole",NA,"fused proximal and distal","903AG humerus Odocoileus v almost complete broken in three places GL and GLC is a refit GLC taken with calipers GL taken with osteoboard board is typically 4mm greater than same measurement with calipers. Proximal epiphysis is closed but visible.","Humerus.GL",193,"Humerus length"
"7308","Aguateca","EAP0638","AG31A-9-1-2","134","n/a","900AG","mixed Classic period","","Odocoileus virginianus","humerus","left","proximal epiphysis",NA,"unfused epiphysis","","Humerus.GL",13.28,"Humerus length"
"7656","modern","","Collier County","","z:4703","","F","1985","Odocoileus virginianus","","L","",3.5,"","","Humerus.GL",171.72,"Humerus length"
"7665","modern","","Guatemala, Peten, Dos Pilas","","UF no8851","","","1993","Mazama americanus","","R","",NA,"","","Humerus.GL",133.37,"Humerus length"
"7668","modern","","Collier City","","z:4576","","F","1985","Odocoileus virginianus","","R","",2,"","","Humerus.GL",157.47,"Humerus length"
"7669","modern","","Collier County","","z:4580","","F","1985","Odocoileus virginianus","","R","",4,"","","Humerus.GL",163.58,"Humerus length"
"7670","modern","","Collier County","","z:4573","","F","1985","Odocoileus virginianus","","R","",5,"","","Humerus.GL",165.29,"Humerus length"
"7672","modern","","Collier County","","z:4572","","F","1985","Odocoileus virginianus","","R","",2.5,"","","Humerus.GL",160.43,"Humerus length"
"7674","modern","","Collier County","","z:4781","","F","1985","Odocoileus virginianus","","R","",2,"","","Humerus.GL",156.13,"Humerus length"
"7676","modern","","Collier County","","z:4705","","F","1985","Odocoileus virginianus","","R","",3.5,"","","Humerus.GL",165.27,"Humerus length"
"7677","modern","","Collier County","","z:4569","","F","1985","Odocoileus virginianus","","R","",NA,"","","Humerus.GL",158.09,"Humerus length"
"7678","modern","","Clay County","","z:2850","","F","1979","Odocoileus virginianus","","R","",3.5,"","","Humerus.GL",179.62,"Humerus length"
"7680","modern","","Liberty County","","z:4567","","F","1985","Odocoileus virginianus","","R","",NA,"","","Humerus.GL",155.32,"Humerus length"
"7681","modern","","Collier County","","z:4571","","M","1985","Odocoileus virginianus","","R","",3.5,"","","Humerus.GL",183.7,"Humerus length"
"7914","Tipu","EAP0667","T143","2","n/a","507T12","Spanish colonial","","Mazama americanus","humerus","L","almost complete",NA,"","T143-2 humerus Mazama sp almost complete reference collection","Humerus.GL",123.52,"Humerus length"
"7915","Tipu","EAP0667","T426","2","n/a","524T14","Late Postclassic/Historic","","Mazama americanus","humerus","L","almost complete",NA,"","T426-2 humerus Mazama a. almost complete minor erosion on the proximal articular surfaces GL is suspect.","Humerus.GL",127.52,"Humerus length"
"8116","Aguateca","EAP0638","AG31D-4-1-1","212","n/a","903AG","mixed Classic period","","Odocoileus virginianus","humerus","left","whole",NA,"fused proximal and distal","903AG humerus Odocoileus v almost complete broken in three places GL and GLC is a refit GLC taken with calipers GL taken with osteoboard board is typically 4mm greater than same measurement with calipers. Proximal epiphysis is closed but visible.","Humerus.Bp",52.15,NA
