"","SPEC_ID","PROTECTED...P","GENUS","SPECIES","COUNTRY","LOCALITY","QUARRY","DATE.COLLECTED","SEX","BONE","SIDE","AGE","variable","value","template"
"5794","OU1144/1 ","","Hippotherium","giganteum","3","1","","","unknown","femur","right","7.0","M2","399.28","femur length from trochanter"
"5813","HLMDSS-2","","""Hipparion"" ","sp.","5","1","","","unknown","humerus","no record","8.0","M2","188","humerus length from caput"
"5829","Ho1154","","Hippotherium","primigeneium","7","1","","","unknown","femur","left","10.3","M2","0","femur length from trochanter"
"5832","Ho194","","Hippotherium","primigeneium","7","1","","","unknown","femur","norecord","10.3","M2","0","femur length from trochanter"
"5833","Ho195052","","Hippotherium","primigeneium","7","1","","","unknown","femur","right","10.3","M2","400","femur length from trochanter"
"5834","Ho205","","Hippotherium","primigeneium","7","1","","","unknown","femur","right","10.3","M2","0","femur length from trochanter"
"5835","Ho205052","","Hippotherium","primigeneium","7","1","","","unknown","femur","left","10.3","M2","352","femur length from trochanter"
"5838","Ho2955","","Hippotherium","primigeneium","7","1","","","unknown","femur","norecord","10.3","M2","0","femur length from trochanter"
"5843","Ho4156","","Hippotherium","primigeneium","7","1","","","unknown","humerus","left","10.3","M2","247.8","humerus length from caput"
"5851","Ho554","","Hippotherium","primigeneium","7","1","","","unknown","humerus","norecord","10.3","M2","0","humerus length from caput"
"5852","Ho5759","","Hippotherium","primigeneium","7","1","","","unknown","humerus","right","10.3","M2","238.4","humerus length from caput"
"5854","Ho62","","Hippotherium","primigeneium","7","1","","","unknown","humerus","right","10.3","M2","0","humerus length from caput"
"5855","Ho63","","Hippotherium","primigeneium","7","1","","","unknown","humerus","left","10.3","M2","0","humerus length from caput"
"5858","HoA54","","Hippotherium","primigeneium","7","1","","","male","femur","left","10.3","M2","380","femur length from trochanter"
"5859","HoA54","","Hippotherium","primigeneium","7","1","","","male","femur","right","10.3","M2","370","femur length from trochanter"
"5860","HoA54","","Hippotherium","primigeneium","7","1","","","male","humerus","left","10.3","M2","283","humerus length from caput"
"5861","HoA54","","Hippotherium","primigeneium","7","1","","","male","humerus","right","10.3","M2","273","humerus length from caput"
"5866","HoB54112","","Hippotherium","primigeneium","7","1","","","male","femur","left","10.3","M2","345","femur length from trochanter"
"5868","HoB548","","Hippotherium","primigeneium","7","1","","","male","humerus","right","10.3","M2","250.5","humerus length from caput"
"5870","HoC5466","","Hippotherium","primigeneium","7","1","","","female","humerus","left","10.3","M2","0","humerus length from caput"
"5871","HoC5467","","Hippotherium","primigeneium","7","1","","","female","humerus","right","10.3","M2","0","humerus length from caput"
"5872","HoC5470","","Hippotherium","primigeneium","7","1","","","female","femur","right","10.3","M2","365","femur length from trochanter"
"5873","HoC5471","","Hippotherium","primigeneium","7","1","","","female","femur","left","10.3","M2","0","femur length from trochanter"
"5877","HoE54102","","Hippotherium","primigeneium","7","1","","","female","femur","left","10.3","M2","392","femur length from trochanter"
"5878","HoE54114","","Hippotherium","primigeneium","7","1","","","female","humerus","right","10.3","M2","278.6","humerus length from caput"
"5879","HoE54115","","Hippotherium","primigeneium","7","1","","","female","humerus","left","10.3","M2","275.8","humerus length from caput"
"5883","HoE5478","","Hippotherium","primigeneium","7","1","","","female","femur","right","10.3","M2","0","femur length from trochanter"
"5884","HoG54","","Hippotherium","primigeneium","7","1","","","male","humerus","left","10.3","M2","0","humerus length from caput"
"5885","HoG54","","Hippotherium","primigeneium","7","1","","","male","humerus","right","10.3","M2","0","humerus length from caput"
"5891","HoI531","","Hippotherium","primigeneium","7","1","","","female","humerus","left","10.3","M2","0","humerus length from caput"
"5893","HoII53","","Hippotherium","primigeneium","7","1","","","unknown","femur","left","10.3","M2","0","femur length from trochanter"
"5894","HoII53","","Hippotherium","primigeneium","7","1","","","unknown","humerus","left","10.3","M2","0","humerus length from caput"
"5898","HoIII","","Hippotherium","primigeneium","7","1","","","unknown","humerus","left","10.3","M2","0","humerus length from caput"
"5899","HoIII","","Hippotherium","primigeneium","7","1","","","unknown","humerus","right","10.3","M2","0","humerus length from caput"
"5903","HoT56","","Hippotherium","primigeneium","7","1","","","unknown","humerus","left","10.3","M2","282.8","humerus length from caput"
"5905","HoT5634","","Hippotherium","primigeneium","7","1","","","unknown","femur","left","10.3","M2","370","femur length from trochanter"
"5909","HoV5871","","Hippotherium","primigeneium","7","1","","","female","femur","left","10.3","M2","0","femur length from trochanter"
"5911","HoY59194","","Hippotherium","primigeneium","7","1","","","unknown","femur","right","10.3","M2","335","femur length from trochanter"
"5912","HoY59195","","Hippotherium","primigeneium","7","1","","","unknown","femur","left","10.3","M2","0","femur length from trochanter"
"5917","HoY5954","","Hippotherium","primigeneium","7","1","","","unknown","humerus","right","10.3","M2","254.5","humerus length from caput"
"5918","HoY5955","","Hippotherium","primigeneium","7","1","","","unknown","humerus","left","10.3","M2","0","humerus length from caput"
"5920","DD121","","Hippotherium","primigeneium","7","2","","","unknown","humerus","norecord","10.0","M2","0","humerus length from caput"
"5923","DD2920","","Hippotherium","primigeneium","7","2","","","unknown","humerus","norecord","10.0","M2","0","humerus length from caput"
"5924","DD4189","","Hippotherium","primigeneium","7","2","","","unknown","humerus","norecord","10.0","M2","0","humerus length from caput"
"5925","DDnonumb1","","Hippotherium","primigeneium","7","2","","","unknown","humerus","norecord","10.0","M2","0","humerus length from caput"
"5928","DDnonumb2","","Hippotherium","primigeneium","7","2","","","unknown","humerus","norecord","10.0","M2","0","humerus length from caput"
"5929","PIUW1344/1","","Hippotherium ","brachypus","11","1","","","unknown","humerus","left","8.0","M2","","humerus length from caput"
"5930","PIUW1344/10","","Hippotherium ","brachypus","11","1","","","unknown","humerus","right","8.0","M2","","humerus length from caput"
"5931","PIUW1344/11","","Hippotherium ","brachypus","11","1","","","unknown","humerus","right","8.0","M2","","humerus length from caput"
"5932","PIUW1344/12","","Hippotherium ","brachypus","11","1","","","unknown","humerus","right","8.0","M2","","humerus length from caput"
"5933","PIUW1344/13","","Hippotherium ","brachypus","11","1","","","unknown","humerus","right","8.0","M2","","humerus length from caput"
"5934","PIUW1344/14","","Hippotherium ","brachypus","11","1","","","unknown","humerus","right","8.0","M2","250.4","humerus length from caput"
"5935","PIUW1344/15","","Hippotherium ","brachypus","11","1","","","unknown","humerus","left","8.0","M2","","humerus length from caput"
"5936","PIUW1344/16","","Hippotherium ","brachypus","11","1","","","unknown","humerus","left","8.0","M2","","humerus length from caput"
"5937","PIUW1344/17","","Cremohipparion","mediterraneum","11","1","","","unknown","humerus","left","8.0","M2","","humerus length from caput"
"5938","PIUW1344/18","","Cremohipparion","mediterraneum","11","1","","","unknown","humerus","right","8.0","M2","","humerus length from caput"
"5939","PIUW1344/19","","Cremohipparion","mediterraneum","11","1","","","unknown","humerus","right","8.0","M2","","humerus length from caput"
"5940","PIUW1344/2","","Cremohipparion","mediterraneum","11","1","","","unknown","humerus","left","8.0","M2","","humerus length from caput"
"5941","PIUW1344/20","","Cremohipparion","mediterraneum","11","1","","","unknown","humerus","right","8.0","M2","","humerus length from caput"
"5942","PIUW1344/21","","Cremohipparion","mediterraneum","11","1","","","unknown","humerus","right","8.0","M2","","humerus length from caput"
"5943","PIUW1344/3","","""Hipparion"" ","sp.","11","1","","","unknown","humerus","left","8.0","M2","","humerus length from caput"
"5944","PIUW1344/4","","""Hipparion"" ","sp.","11","1","","","unknown","humerus","left","8.0","M2","","humerus length from caput"
"5945","PIUW1344/5","","Hippotherium ","brachypus","11","1","","","unknown","humerus","right","8.0","M2","","humerus length from caput"
"5946","PIUW1344/6","","Hippotherium ","brachypus","11","1","","","unknown","humerus","right","8.0","M2","","humerus length from caput"
"5947","PIUW1344/7","","Hippotherium ","brachypus","11","1","","","unknown","humerus","left","8.0","M2","","humerus length from caput"
"5948","PIUW1344/8","","Hippotherium ","brachypus","11","1","","","unknown","humerus","right","8.0","M2","","humerus length from caput"
"5949","PIUW1344/9","","Hippotherium ","brachypus","11","1","","","unknown","humerus","right","8.0","M2","","humerus length from caput"
"5990","MAFIV","","Hippotherium ","intrans","12","1","","","unknown","femur","norecord","10.0","M2","0","femur length from trochanter"
"5991","MAFIV","","Hippotherium ","intrans","12","1","","","unknown","femur","norecord","10.0","M2","0","femur length from trochanter"
