"","specimenID","country","verbatimLocality","eventRemarks","verbatimEventDate","sex","measurementSide","ageValue","measurementType","measurementValue","template","measurementUnit","scientificName"
"5794","OU1144/1","3","1","","","unknown","right","7.0","M2","399.28","femur length from trochanter","mm","Hippotherium giganteum"
"5813","HLMDSS-2","5","1","","","unknown","no record","8.0","M2","188","humerus length from caput","mm","""Hipparion""  sp."
"5829","Ho1154","7","1","","","unknown","left","10.3","M2","0","femur length from trochanter","mm","Hippotherium primigeneium"
"5832","Ho194","7","1","","","unknown","norecord","10.3","M2","0","femur length from trochanter","mm","Hippotherium primigeneium"
"5833","Ho195052","7","1","","","unknown","right","10.3","M2","400","femur length from trochanter","mm","Hippotherium primigeneium"
"5834","Ho205","7","1","","","unknown","right","10.3","M2","0","femur length from trochanter","mm","Hippotherium primigeneium"
"5835","Ho205052","7","1","","","unknown","left","10.3","M2","352","femur length from trochanter","mm","Hippotherium primigeneium"
"5838","Ho2955","7","1","","","unknown","norecord","10.3","M2","0","femur length from trochanter","mm","Hippotherium primigeneium"
"5843","Ho4156","7","1","","","unknown","left","10.3","M2","247.8","humerus length from caput","mm","Hippotherium primigeneium"
"5851","Ho554","7","1","","","unknown","norecord","10.3","M2","0","humerus length from caput","mm","Hippotherium primigeneium"
"5852","Ho5759","7","1","","","unknown","right","10.3","M2","238.4","humerus length from caput","mm","Hippotherium primigeneium"
"5854","Ho62","7","1","","","unknown","right","10.3","M2","0","humerus length from caput","mm","Hippotherium primigeneium"
"5855","Ho63","7","1","","","unknown","left","10.3","M2","0","humerus length from caput","mm","Hippotherium primigeneium"
"5858","HoA54","7","1","","","male","left","10.3","M2","380","femur length from trochanter","mm","Hippotherium primigeneium"
"5859","HoA54","7","1","","","male","right","10.3","M2","370","femur length from trochanter","mm","Hippotherium primigeneium"
"5860","HoA54","7","1","","","male","left","10.3","M2","283","humerus length from caput","mm","Hippotherium primigeneium"
"5861","HoA54","7","1","","","male","right","10.3","M2","273","humerus length from caput","mm","Hippotherium primigeneium"
"5866","HoB54112","7","1","","","male","left","10.3","M2","345","femur length from trochanter","mm","Hippotherium primigeneium"
"5868","HoB548","7","1","","","male","right","10.3","M2","250.5","humerus length from caput","mm","Hippotherium primigeneium"
"5870","HoC5466","7","1","","","female","left","10.3","M2","0","humerus length from caput","mm","Hippotherium primigeneium"
"5871","HoC5467","7","1","","","female","right","10.3","M2","0","humerus length from caput","mm","Hippotherium primigeneium"
"5872","HoC5470","7","1","","","female","right","10.3","M2","365","femur length from trochanter","mm","Hippotherium primigeneium"
"5873","HoC5471","7","1","","","female","left","10.3","M2","0","femur length from trochanter","mm","Hippotherium primigeneium"
"5877","HoE54102","7","1","","","female","left","10.3","M2","392","femur length from trochanter","mm","Hippotherium primigeneium"
"5878","HoE54114","7","1","","","female","right","10.3","M2","278.6","humerus length from caput","mm","Hippotherium primigeneium"
"5879","HoE54115","7","1","","","female","left","10.3","M2","275.8","humerus length from caput","mm","Hippotherium primigeneium"
"5883","HoE5478","7","1","","","female","right","10.3","M2","0","femur length from trochanter","mm","Hippotherium primigeneium"
"5884","HoG54","7","1","","","male","left","10.3","M2","0","humerus length from caput","mm","Hippotherium primigeneium"
"5885","HoG54","7","1","","","male","right","10.3","M2","0","humerus length from caput","mm","Hippotherium primigeneium"
"5891","HoI531","7","1","","","female","left","10.3","M2","0","humerus length from caput","mm","Hippotherium primigeneium"
"5893","HoII53","7","1","","","unknown","left","10.3","M2","0","femur length from trochanter","mm","Hippotherium primigeneium"
"5894","HoII53","7","1","","","unknown","left","10.3","M2","0","humerus length from caput","mm","Hippotherium primigeneium"
"5898","HoIII","7","1","","","unknown","left","10.3","M2","0","humerus length from caput","mm","Hippotherium primigeneium"
"5899","HoIII","7","1","","","unknown","right","10.3","M2","0","humerus length from caput","mm","Hippotherium primigeneium"
"5903","HoT56","7","1","","","unknown","left","10.3","M2","282.8","humerus length from caput","mm","Hippotherium primigeneium"
"5905","HoT5634","7","1","","","unknown","left","10.3","M2","370","femur length from trochanter","mm","Hippotherium primigeneium"
"5909","HoV5871","7","1","","","female","left","10.3","M2","0","femur length from trochanter","mm","Hippotherium primigeneium"
"5911","HoY59194","7","1","","","unknown","right","10.3","M2","335","femur length from trochanter","mm","Hippotherium primigeneium"
"5912","HoY59195","7","1","","","unknown","left","10.3","M2","0","femur length from trochanter","mm","Hippotherium primigeneium"
"5917","HoY5954","7","1","","","unknown","right","10.3","M2","254.5","humerus length from caput","mm","Hippotherium primigeneium"
